Latitude,Longitude,Food Scrap Drop-off Site Name,Location,Hours
40.83281,-73.92702,Target Bronx Community Garden,1025 Anderson Avenue,"Friday 10:30 AM to 2:00 PM
Saturday 12:00 PM to 4:00 PM"
40.8243,-73.95,The Brotherhood/Sister Sol,512 West 143rd Street,"Mon-Fri
11:00 AM to 7:00 PM"
40.71698,-73.85765,The Compost Collective,73-24 Yellowstone Blvd.,"Saturday
11:00 AM to 12:00 PM"
40.79483,-73.9431,The Herb Garden,180 East 111th Street,"Daily
Dusk to Dawn"
40.81822,-73.89046,The Point CDC,940 Garrison Avenue,"Mon-Fri
10:00 AM to 6:00 PM"
40.72606,-73.98354,Tompkins Square Greenmarket,"E 7th St & Avenue A, New York, NY 10009","Sunday
8:00 AM to 1:00 PM"
40.7163,-74.01096,Tribeca Greenmarket,"Greenwich Street at Chambers Street,New York,NY","Wed, Sat
8:00 AM to 1:00 PM"
40.77372,-73.9819,Tucker Square Greenmarket,"Columbus Ave & W 66th St, New York, NY 10023","Thursday 8:00 AM to 3:30 PM
Saturday 10:00 AM to 6:00 PM"
40.66491,-73.88673,UCC Youth Farm,613 New Lots Avenue,"Tuesday 9:00 AM to 6:00 PM
Friday 10:00 AM to 6:00 PM"
40.73682,-73.99004,Union Square Greenmarket,"E 17th St & Union Square E, New York, NY","Mon, Wed, Fri, Sat
8:00 AM to 5:00 PM"
40.80506,-73.93903,Uptown Grand Central Fresh Food Box,"125th Street at Park Avenue, outside the Metro-North Station","Wednesday
3:00 PM to 7:00 PM"
40.82114,-73.91493,We Stay/Nos Quedamos,754 Melrose Avenue,"Tuesday
12:00 PM to 4:00 PM"
40.73293,-74.00007,West Village,6th Avenue and Waverly Place - SE Corner,"Thursday
8:00 AM to 11:00 AM"
40.8114,-73.95152,William B. Washington Memorial Garden,321 West 126th Street,"Wednesday
3:00 PM to 6:00 PM"
40.6444,-73.92074,Wyckoff Farmhouse Museum,5816 Clarendon Rd,"Friday
11:00 AM to 4:00 PM"
